Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
,,,B.Sc.,I,Physical Education,159003,Theory of Games & Sports (Track & Field)
,,,B.Ed.,I,Education,158003,Growing up as a Learner
,,,B.A. B.Ed.,I,Education,0158605/07,a) Sanskrit b) History (Political History of Ancient India)
,,,B.Sc. B.Ed.,I,Education,158703,Inorganic Chemistry
,,,B.El.Ed.,I,Education,158903,Elementary Level Mathematics
,,,B.P.Ed.,I,Education,158203,Health Education and Environmental Studies
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328702,Animal Bio-technology
,,,B.Sc.,III,Microbiology,328802,Medical Microbiology
,,,B.Sc.,III,Physical Education,359002,Fundamentals of Sports Training
,,,B.El.Ed.,III,Education,358902,School Planning and Management
,,,B.F.A.,III,Art,318602,Indian Aesthetic
,,,B.A. B.Ed.,III,Education,0358602/04,a) Hindi b) English (Indian Writing in English Prose)
,,,B.Sc. B.Ed.,III,Education,0358702/06,a) Relativity and Electrodynamics b) Ecology and Environment Biology
,,,B.El.Ed.,IV,Education,0458903/04,a) Pedagogy of Language b) Pedagogy of Mathematics
04-04-2026 Saturday,,11:00 AM - 01:00 PM,B.Sc.,I,Bio-Technology,128704,Microbiology
,,,B.Sc.,I,Microbiology,128804,"Mycology, Phycology and Protozoology "
,,,B.Sc.,I,Physical Education,159004,Theory of Games & Sports (Gymnastics)
,,,B.Ed.,I,Education,158004,"Teacher, Teaching and Technology "
,,,B.A. B.Ed.,I,Education,0158606/08,a) Sanskrit b) History (AD 606 to AD 1206)
,,,B.Sc. B.Ed.,I,Education,158704,Organic Chemistry
,,,B.El.Ed.,I,Education,158904,Elementary Level Natural Science
,,,B.P.Ed.,I,Education,158204,Yoga Education
,,03:00 PM - 06:00 PM,B.Sc.,II,Bio-Technology,228703,Molecular Biology
,,,B.Sc.,II,Microbiology,228803,Microbial Physiology
,,,B.Sc.,II,Physical Education,259003,Physiology of Exercise
,,,B.Ed.,II,Education,258003,"Knowledge, Language & Curriculum "
,,,B.A. B.Ed.,II,Education,0258603/05,a) English (Drama) b) Sanskrit
,,,B.El.Ed.,II,Education,258903,Techniques for Developing Warm Relationship with Children
,,,B.P.Ed.,II,Education,258203,Sports Psychology and Sociology
,,,B.El.Ed.,IV,Education,0458905/06,c) Pedagogy of Natural Science d) Pedagogy of Social Science
,,,B.F.A.,IV,Art,418603,Advertising Theory
,,,B.A. B.Ed.,IV,Education,458603,Teaching of English
,,,B.Sc. B.Ed.,IV,Education,0458703-15,1-Nuclear Physics 2-Physical Chemistry 3-Plant Bio-tech 4-Biostatistics 5-Metric Space
06-04-2026 Thursday,,11:00 AM - 01:00 PM,B.Sc.,I,Bio-Technology,128705,Genetics
,,,B.Sc.,I,Microbiology,128805,Bio-Chemistry
,,,B.Sc.,I,Physical Education,159005,Theory of Games & Sports (Yoga)
,,,B.Ed.,I,Education,158005,Pedagogy of Hindi
,,,B.A. B.Ed.,I,Education,158609,Political Science (Political Theory)
,,,B.Sc. B.Ed.,I,Education,0158707/09,a) Animal Diversity and Evolution b) Algebra and Coordinate Geometry
,,,B.El.Ed.,I,Education,158905,Elementary Level Social Science
,,,B.P.Ed.,I,Education,158205,Educational Technology and Methods
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328703,Molecular Virology
,,,B.Sc.,III,Microbiology,328803,Food and Dairy Microbiology
,,,B.Sc.,III,Physical Education,359003,Kinesiology & Bio-Mechanics
,,,B.El.Ed.,III,Education,358903,Logic of Mathematics Education
,,,B.F.A.,III,Art,318603,Advertising Theory
,,,B.A. B.Ed.,III,Education,0358605/09,a) Sanskrit b) History of Modern World
,,,B.Sc. B.Ed.,III,Education,358703,Inorganic Chemistry
,,,B.Sc. B.Ed.,II,Education,258703,Organic Chemistry
07-04-2026 Saturday,,03:00 PM - 06:00 PM,B.Sc.,II,Bio-Technology,228704,Molecular Genetics and Cytogenetics
,,,B.Sc.,II,Microbiology,228804,Microbial Metabolism
,,,B.Sc.,II,Physical Education,259004,Theory of Games & Sports (Track & Field)
,,,B.Ed.,II,Education,258004,"Work Education, Gandhiji’s Nai Talim "
,,,B.A. B.Ed.,II,Education,0258604/06,a) English (Fiction) b) Sanskrit
,,,B.Sc. B.Ed.,II,Education,258704,Physical Chemistry
,,,B.El.Ed.,II,Education,258904,"Identifying Gifted, Creative and Problem Children "
,,,B.P.Ed.,II,Education,258204,Measurement and Evaluation in Phys. Education
,,,B.El.Ed.,IV,Education,0458907/08,a) Computer Education b) Special Education
,,,B.F.A.,IV,Art,418605,Fashion Theory
,,,B.A. B.Ed.,IV,Education,458604,Teaching of Sanskrit
,,,B.Sc. B.Ed.,IV,Education,458716,Knowledge & Curriculum
08-04-2026 Tuesday,,11:00 AM - 01:00 PM,B.Sc.,I,Bio-Technology,128706,Instrumentation & Bio-analytical Techniques
,,,B.Sc.,I,Microbiology,128806,Bio-Physics
,,,B.Sc.,I,Physical Education,159006,Sports & Games of Spec.
,,,B.Ed.,I,Education,0158006/07/15,Pedagogy of English/Sanskrit/Urdu
,,,B.A. B.Ed.,I,Education,158610,Political Science (National Movement & Constitution)
,,,B.Sc. B.Ed.,I,Education,0158708/10,a) Biology of Non chordates b) Calculus
,,,B.P.Ed.,I,Education,158206,Organization and Administration
,,03:00 PM - 06:00 PM,B.Sc.,III,Bio-Technology,328704,Nano-Biotechnology
,,,B.Sc.,III,Microbiology,328804,Agricultural Microbiology
,,,B.Sc.,II,Physical Education,359004,Theory of Games & Sports (Track & Field)
,,,B.El.Ed.,III,Education,358904,Pedagogy of Environmental Studies
,,,B.A. B.Ed.,III,Education,358606,Sanskrit
,,,B.Sc. B.Ed.,III,Education,358704,Physical Chemistry
09-04-2026 Friday,,03:00 PM - 06:00 PM,B.Sc.,II,Bio-Technology,228705,Immunology and Immuno-technology
,,,B.Sc.,II,Microbiology,228805,Molecular Biology
,,,B.Sc.,II,Physical Education,259005,Theory of Games & Sports (Gymnastics)
,,,B.Ed.,II,Education,258005,Assessment for Learning
,,,B.A. B.Ed.,II,Education,258607,History (Medieval India 1206-1526 AD)
,,,B.Sc. B.Ed.,II,Education,0258707/09,a) Chordate Structure b) 3D Geometry
,,,B.P.Ed.,II,Education,258205,Kinesiology and Biomechanics
,,,B.F.A.,IV,Art,418606,Apparel Fabric Studies
,,,B.A. B.Ed.,IV,Education,458605,Teaching of Home Science
,,,B.Sc. B.Ed.,IV,Education,458717,Understanding Inclusive Education
10-04-2026 Sunday,,11:00 AM - 01:00 PM,B.Sc.,I,Bio-Technology,128707,Bio-mathematics & Bio-statistics
,,,B.Sc.,I,Microbiology,128807,Instrumentation and Culture Techniques
,,,B.Ed.,I,Education,0158008/11,a) Pedagogy of Social Science b) Biological Science
,,,B.A. B.Ed.,I,Education,158611,Economics (Principles of Economic Analysis)
,,,B.Sc. B.Ed.,I,Education,158711,Childhood and growing up
