Date,Day,Shift,Class,Subject,Course,Code
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Industrial Chemical Analysis,B-353
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Non Parametric Methods and Numerical Analysis,B-394
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer,Advanced Topics in Computer,A-393
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer,Advanced Topics in Computer,B-393
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Computer,Advanced Topics in Computer,C-393
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Library & Info Science,Library Management,A-322
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Experimental Methodology & Statistics,A-141
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Counseling and Guidance,A-440
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Organizational Behaviour,A-441
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Health Psychology,A-442
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Environmental Psychology,A-443
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Defence Studies,Study of War & Peace,A-305
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Defence Studies,Study of War & Peace,B-305
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South West Asia,A-512
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South West Asia,B-512
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South East Asia,A-513
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South East Asia,B-513
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South Asia,A-515
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South Asia,B-515
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Home Science,Dietetics and Therapeutic Nutrition,A-318
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,History of Physical Education,A-186
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Kinesiology & Bio-Mechanics in Physical Education,A-386
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,Molecular Biology & Biotechnology,B-302
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Chemistry,Organic Chemistry,B-307
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Solid State & Nuclear Physics,B-317
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Zoology,"Biotechnology, Immunology, Biological Tools and Techniques and Biostatistics",B-321
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Science,Computer Architecture & Data Communication,B-398
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Chemical Process Economics and Industrial Organization,B-354
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Applied Statistics,B-395
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,"Project Report - Java, Visual Basic, Web Technology and Oracle",A-690
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Introduction to Statistics & Computer Application in Physical Education,A-387
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Anatomy & Physiology in Physical Education,A-187
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-001
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-001
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-001
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-003
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-003
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-003
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,Environmental Botany,B-303
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Chemistry,Physical Chemistry,B-308
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Numerical Methods and Fundamentals of Computer,B-328
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Solid State Electronics,B-318
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Zoology,"Ecology, Microbiology Animal Behaviour and Pollution and Toxicology",B-322
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Science,Introduction to DBNS_SQL & Software Engineering Concept,B-399
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Polymers,B-455
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Heavy and Fine Chemicals,B-459
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Linear Programming & Computational Techniques,B-396
4-Apr-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Political Science,Traditions of Political Thinking,G-170
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Political Science,Political Theory,A-138
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Political Science,Principles of Public Administration,A-338
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Sociology,Classical Thinkers,G-187
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Defence Studies,Theory and Development of war Since 1789 AD to 1945 AD,G-195
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Economics,Micro Economics I,G-106
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Education,Psychological Foundation of Education,G-102
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,History,"Historiography: Concepts, Methods, Approaches and Tools",G-137
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Sanskrit,"Ved, Upnishad, Shiksha & History of Vedic Literature",G-182
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Urdu,Origin & Develop of Urdu Language,G-162
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Hindi Natak & Rangmanch,A-114
8-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Calculus,A-127
8-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Calculus,B-127
10-Apr-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying,Environmental Studies,A-008
10-Apr-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Qualifying,Environmental Studies,C-008
10-Apr-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)",Qualifying,Environmental Studies,S-008
11-Apr-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Political Science,National Movement & Constitution,A-139
