Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0006-D.A.V. COLLEGE, BULANDSHAHR","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0010-SHYAM LAL SARASWATI MAHAVIDYALAYA, SHIKARPUR, BULANDSHAR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0012-GAURI SHANKER KANYA MAHAVIDYALAYA, BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0014-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0043-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0089-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0123-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0133-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0140-GOVERNMENT MAHAVIDYALA, BIBINAGAR (BULANDSHAHR)",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0166-SHRI RAM INSTITUTE OF MGMT & TECHNOLOGY, NH-93, RAILWAY ROAD, DIBAI, BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITURE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JAH",Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR",0292-,Bulandshahr,M.A.,Economics,G-806,,
"0006-D.A.V. COLLEGE, BULANDSHAHR","1194-VEERANGANA AWANTI BAI MAHAVIDYALAY, BULANDSHAHR",Bulandshahr,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)",0002-,Baghpat,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0004-J.V.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT,",Baghpat,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0022-M.M. DEGREE COLLEGE, KHEKHRA (BAGHPAT)",Baghpat,M.A.,Economics,G-806,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0054-VEDIC KANYA DEGREE COLLEGE TATIRI, BAGHPAT",Baghpat,M.A.,Economics,G-806,,
