Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDHSHAE",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0133-BASANTI DEVI DEGREE COLLEGE, DEVLI, GULAOTHI, BULANDHSHAR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0166-SHRI RAM INSTITUTE OF MANAGEMENT & TECHNOLOGY, DIBAI, BULANSHAHR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0163-S.S.D. KANYA DEGREE COLLEGE, DEBAI, BULANDSHAHR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0206-R.J. INSTITUE OF HIGHER EDUCATION,CHONDERA-DIBAI, BULANDHSHAHR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITUTE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JHANGIRABAD, BULANSHAHR",Bulandshahr,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0004-J.V.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0002-J.A.V. COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT,",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0022-M.M. DEGREE COLLEGE, KHEKHRA (BAGHPAT)",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0517-DIGAMBER JAIN BALIKA VIDHYAPEETH, KHEKRA, BAGHPAT",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0702-LAKHMI CHAND PATWARI COLLEGE OF EDUCATION, DELHI BAGHPAT ROAD, KHEKRA, BAGHPAT",Baghpat,M.A.,Sanskrit,G-882,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.A.,Sanskrit,G-882,,
"0055-MEERUT COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0046-DR. AMBEDKAR DEGREE COLLEGE, MEERUT",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0049-A.S. (P.G.) COLLEGE, MAWANA (MEERUT)",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0050-KRISHAK (P.G.) COLLEGE, MAWANA (MEERUT)",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0051-LAKSHMI DEVI KANYA DEGREE COLLEGE, MAWANA, MEERUT",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0052-D.N. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0053-I.N. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,Sanskrit,G-882,"Monday, 18 May 2026",09:30 AM Onwards
"0056-N.A.S. COLLEGE, MEERUT","0056-N.A.S. COLLEGE, MEERUT",Meerut,M.A.,Sanskrit,G-882,,
