Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0053-I.N. (P.G.) COLLEGE, MEERUT","0053-I.N. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0022-M.M. DEGREE COLLEGE, KHEKRA, BAGHPAT",Baghpat,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0011-MUSLIM GIRLS DEGREE COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0014-SMT DILAWARI DEVI KISAN KANYA P.G. COLLEGE, CHINGRAWATHI, BULANDSHSHAR,",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0088-J.S. COLLEGE, SIKANDARABAD, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITURE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandshahr,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0058-R.G. COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0085-FAIZ-E-AM DEGREE COLLEGE, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0097-SANT JOSEPHS GIRLS DEGREE COLLEGE, SARDHANA (MEERUT)",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0203-R.K. COLLEGE, GARH ROAD, KITHORE, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0722-BHAGWATI COLLEGE OF EDUCATION, SIVAYA, ROORKEE ROAD, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0049-A.S. PG. COLLEGE, MAWANA, MEERUT",Meerut,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0086-L.R. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0030-R.S.S. COLLEGE, PILKHUWA (PANCHEEL NAGAR)",Hapur,M.A.,Urdu,G-862,,
"0053-I.N. (P.G.) COLLEGE, MEERUT","0033-K.D. COLLEGE, SIMBHAOLI HAPUR",Hapur,M.A.,Urdu,G-862,,
