Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0019-M.M.H. COLLEGE, GHAZIABAD","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0086-L.R.COLLEGE, SAHIBABAD (GHAZIABAD)",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0775-ROYAL EDUCATIONAL INSTITUTE, 28 KM. STONE, NH-24, DASANA CROSSING, GHAZIABAD",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0224-PARSANDI DEVI COLLEGE OF MANAGEMENT &TECHNOLOGY, BILASHPUR, GREATER NOIDA",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0240-JANHIT INSTITUTE OF EDUCATION, VILL-MATIALA, DUHAI, GHAZIABAD,",Ghaziabad,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0826-COLLEGE OF EDUCATION BALIKA, BILASPUR, G.B.NAGAR",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0833-JANHIT INSTITUTE OF EDUCATION & INFORMATION, 38-B, PHASE-1, KNOWLEGE PARK-I, GARTER NOIDA",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0948-NOIDA COLLEGE OF PHYSICAL EDUCATION, NAVODY VIDYALAYA ROAD, DHOOM MANIKPUR, DADRI, (G.B. NARAG)",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0025-V.M.L.G. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0059-TEJPAL SINGH TYAGI KUSHAL PAL TYAGI MEMORIAL DEGREE COLLEGE, MURADNAGAR, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0061-JANTA DEGREE COLLEGE, PATLA (GHAZIABAD)",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0063-GINNI DEVI MODI GIRLS (P.G.) COLLEGE, MODINAGAR (GHAZIABAD)",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0212-DHAN SINGH GURJAR MAHAVIDYALAYA, LONI, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0029-CHAMELI DEVI DURGA PRASHAD GIRLS DEGREE COLLEGE, SONDA, GHAZIABAD",Ghaziabad,M.A.,English,G-812,,
"0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)","0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,English,G-812,,
"0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)","0026-CHHATRAPATI SHIVAJI MAHAVIDYALAY, BAHADURGARH, HAPUR",Hapur,M.A.,English,G-812,,
"0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)","0027-ARYA KANYA PATHSHALA DEGREE COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,English,G-812,,
"0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)","0030-R.S.S. COLLEGE, PILKHUWA (PANCHEEL NAGAR)",Hapur,M.A.,English,G-812,,
"0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)","0033-K.D. COLLEGE, SIMBHAOLI HAPUR",Hapur,M.A.,English,G-812,,
