Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0055-MEERUT COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0022-M.M. DEGREE COLLEGE, KHEKRA, BAGHPAT",Baghpat,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0031-D.N. COLLEGE, GULAOTHI, BULANDSHAHR",Bulandshahr,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0086-L.R. COLLEGE, SAHIBABAD, GHAZIABAD",Ghaziabad,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0088-J.S. COLLEGE, SIKANDRABAD, BULANDSHAHR",Bulandshahr,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0166-SHRI RAM INSTITUTE OF MGMT. AND TECH. DIBAI, BULANDSHAHR",Bulandshahr,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0284-SHRI RAM COLLEGE OF HIGHER EDUCATION, DELHI SAHARANPUR ROAD, BAGHPAT",Baghpat,M.A.,Defence Studies,G-895,"Monday, 18 May 2026",09:30 AM Onwards
