Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0055-MEERUT COLLEGE, MEERUT","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0004-J.V.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT",Baghpat,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0047-CH. SHIV NATH SINGH SADILYA (P.G.) COLLEGE, MACHHARA (MEERUT)",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0052-D.N.(P.G.) COLLEGE, MEERUT",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0056-N.A.S. COLLEGE, MEERUT",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0058-R.G. (P.G.) COLLEGE, MEERUT",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT",0060-KANOHAR LAL MAHILA MAHAVIDYALAYA,Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0098-SANJAY GANDHI (PG) COLLEGE, SARURPUR KHURD, MEERUT",Meerut,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0055-MEERUT COLLEGE, MEERUT","0182-KALINDI COLLEGE, MALKPUR-CHHAPRAULI ROAD, BARAUT, BAGHPAT",Baghpat,M.A.,Philosophy,G-845,"Monday, 18 May 2026",09:30 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)",Ghaziabad,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0086-L.R.COLLEGE, SAHIBABAD (GHAZIABAD)",Ghaziabad,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandshahr,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandshahr,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0028-S.S.V. (P.G.) COLLEGE, HAPUR (PANCHEEL NAGAR)",Hapur,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandshahr,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD",0045-A.S. COLLEGE LAKHAOTI (BULANDSHAHR),Bulandshahr,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARG, DHANKAUR, GAUTAMBUDDHNAGAR",Noida,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0119-SH. HOTI SINGH MAHENDRA SINGH ADARSH KANYA MAHAVIDUALAYA, PHASU, BULANDSHAHR",Bulandshahr,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0167-RUDRA INSTITUTE OF TECHNOLOGY, RUSALABAD, NANPUR, HAPUR",Hapur,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0362-KESHAV MADHAV VIDHI SHIKSHAN SANSTHAN, DADRI, GAUTAMBUDDHNAGAR",Noida,M.A.,Philosophy,G-845,,
"0019-M.M.H. COLLEGE, GHAZIABAD","1194-VEERANGANA AWANTI BAI MAHAVIDYALAY, BULANDSHAHR",Bulandshahr,M.A.,Philosophy,G-845,,
