Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0006-D.A.V. COLLEGE, BULANDSHAHR",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0045-A.S. COLLEGE, LAKHAOTI (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",0292-,Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",0220-,Bulandhshahr,M.A.,Mathematics,G-850,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITURE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JAH",Bulandhshahr,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0004-J.V.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT",Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)",0280-,Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0054-VEDIC KANYA DEGREE COLLEGE TATIRI, BAGHPAT",Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1005-TEJAS INSTITUTE OF EDUCATION AND TRAINING, VILL. KHAILA, POST, RATAUL, KHEKRA, BAGHPAT",Baghpat,M.A.,Mathematics,G-850,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)",0182-,Baghpat,M.A.,Mathematics,G-850,,
"0056-N.A.S. COLLEGE, MEERUT","0055-MEERUT COLLEGE, MEERUT",Meerut,M.A.,Mathematics,G-850,,
"0056-N.A.S. COLLEGE, MEERUT","0046-DR. AMBEDKAR DEGREE COLLEGE, MEERUT",Meerut,M.A.,Mathematics,G-850,,
"0056-N.A.S. COLLEGE, MEERUT","0047-CH. SHIV NATH SINGH SADILYA (P.G.) COLLEGE, MACHHARA (MEERUT)",Meerut,M.A.,Mathematics,G-850,,
